iso_code,Country,Continent,Specific Sub-Region,Date Range,total_cases,Cases per Pop,total_deaths,Deaths per Pop,Fatality,stringency_index,population,gdp_per_capita,human_development_index,Social support_2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019,happiness score 2019,Happiness Score 2020,Social support_2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020
AFG,Afghanistan,Asia,Southern Asia,2019-12-31 - 2020-10-19,40200,0.001032667,1492,3.83E-05,0.037114428,49.14003571,38928341,1803.987,0.498,0.517,0.361,0,0.158,0.025,3.203,2.5669,0.356434,0.266052,0,0.135235,0.001226
ALB,Albania,Europe,Southern Europe,2020-03-09 - 2020-10-19,17055,0.005926402,451,0.000156717,0.026443858,67.75345972,2877800,11803.431,0.785,0.848,0.874,0.383,0.178,0.027,4.719,4.8827,0.830484,0.84633,0.461946,0.171028,0.025361
DZA,Algeria,Africa,Northern Africa,2020-12-31 - 2020-10-19,54402,0.001240609,1856,4.23E-05,0.034116393,56.59318182,43851043,13913.839,0.754,1.16,0.785,0.086,0.073,0.114,5.211,5.0051,1.143004,0.745419,0.083944,0.118915,0.129191
ARG,Argentina,South America,Latin America and the Caribbean,2020-02-11 - 2020-10-19,989667,0.021897333,26267,0.000581183,0.026541251,79.51768595,45195777,18933.907,0.825,1.432,0.881,0.471,0.066,0.05,6.086,5.9747,1.372544,0.849774,0.52084,0.0701,0.060415
ARM,Armenia,Asia,Western Asia,2019-12-31 - 2020-10-19,64694,0.021832228,1081,0.000364804,0.016709432,0,2963234,8787.58,0.755,1.055,0.815,0.283,0.095,0.064,4.559,4.6768,1.034577,0.775857,0.378076,0.107226,0.104618
AUS,Australia,Oceania,Australia and New Zealand,2019-12-31 - 2020-10-19,27390,0.001074123,904,3.55E-05,0.033004746,65.28,25499881,44648.71,0.939,1.548,1.036,0.557,0.332,0.29,7.228,7.2228,1.477146,1.022608,0.621877,0.324974,0.335996
AUT,Austria,Europe,Western Europe,2019-12-31 - 2020-10-19,65557,0.007278935,910,0.000101039,0.01388105,38.61851211,9006400,45436.686,0.908,1.475,1.016,0.532,0.244,0.226,7.246,7.2942,1.437445,1.000934,0.603369,0.25551,0.281256
AZE,Azerbaijan,Asia,Western Asia,2019-12-31 - 2020-10-19,44964,0.00443468,626,6.17E-05,0.013922249,64.08695205,10139175,15847.419,0.757,1.147,0.769,0.351,0.035,0.182,5.208,5.1648,1.180613,0.731134,0.467735,0.040113,0.247307
BHR,Bahrain,Asia,Western Asia,2019-12-31 - 2020-10-19,77902,0.045782075,300,0.000176306,0.003850992,63.89,1701583,43290.705,0.846,1.368,0.871,0.536,0.255,0.11,6.199,6.2273,1.315324,0.838836,0.6104,0.287454,0.126697
BGD,Bangladesh,Asia,Southern Asia,2020-03-03 - 2020-10-19,388569,0.002359405,5660,3.44E-05,0.014566268,73.09108696,164689383,3523.984,0.608,0.928,0.723,0.527,0.166,0.143,4.456,4.8328,0.868801,0.694941,0.604131,0.176745,0.176736
BLR,Belarus,Europe,Eastern Europe,2019-12-31 - 2020-10-19,87698,0.009280878,929,9.83E-05,0.010593172,9.229113068,9449321,17167.967,0.808,1.465,0.789,0.235,0.094,0.142,5.323,5.5399,1.387139,0.752589,0.290756,0.089933,0.193607
BEL,Belgium,Europe,Western Europe,2019-12-31 - 2020-10-17,222126,0.01916595,10409,0.000898132,0.046860791,43.52,11589616,42658.576,0.916,1.504,0.986,0.473,0.16,0.21,6.923,6.8635,1.398678,0.964901,0.499805,0.146966,0.208724
BEN,Benin,Africa,Sub-Saharan Africa,2020-03-17 - 2020-10-19,2496,0.000205886,41,3.38E-06,0.016426282,49.08415459,12123198,2064.236,0.515,0.437,0.397,0.349,0.175,0.082,4.883,5.216,0.352428,0.328063,0.40584,0.19667,0.125932
BOL,Bolivia,South America,Latin America and the Caribbean,2020-03-12 - 2020-10-19,139771,0.011973842,8481,0.000726547,0.060677823,88.67620603,11673029,6885.829,0.693,1.209,0.706,0.511,0.137,0.064,5.779,5.7475,1.142351,0.662446,0.574465,0.138375,0.072943
BIH,Bosnia and Herzegovina,Europe,Southern Europe,2020-03-06 - 2020-10-19,33561,0.01022947,980,0.000298706,0.02920056,62.66041282,3280815,11713.895,0.768,1.212,0.845,0.212,0.263,0.006,5.386,5.6741,1.203987,0.813928,0.305366,0.264005,0.001172
BWA,Botswana,Africa,Sub-Saharan Africa,2020-04-01 - 2020-10-19,5242,0.002229097,20,8.50E-06,0.003815338,64.12158426,2351625,15807.374,0.717,1.145,0.538,0.455,0.025,0.1,3.488,3.4789,1.085695,0.494102,0.509089,0.033407,0.101786
BRA,Brazil,South America,Latin America and the Caribbean,2019-12-31 - 2020-10-19,5235344,0.024630027,153905,0.000724056,0.029397304,56.26172637,212559409,14103.452,0.759,1.439,0.802,0.39,0.099,0.086,6.3,6.3756,1.363464,0.766119,0.483293,0.131675,0.106519
BGR,Bulgaria,Europe,Eastern Europe,2020-03-08 - 2020-10-19,29503,0.004245986,986,0.000141902,0.03342033,46.43986485,6948445,18563.307,0.813,1.513,0.815,0.311,0.081,0.004,5.011,5.1015,1.460579,0.777777,0.41782,0.103834,0
BFA,Burkina Faso,Africa,Sub-Saharan Africa,2020-03-11 - 2020-10-19,2381,0.000113906,65,3.11E-06,0.027299454,54.12406878,20903278,1703.102,0.423,1.056,0.38,0.255,0.177,0.113,4.587,4.7687,0.929386,0.312834,0.322398,0.186391,0.126408
BDI,Burundi,Africa,Sub-Saharan Africa,2020-04-01 - 2020-10-19,542,4.56E-05,1,8.41E-08,0.001845018,12.84928034,11890781,702.225,0.417,0.447,0.38,0.22,0.176,0.18,3.775,3.7753,0.403575,0.295213,0.275399,0.187402,0.212187
KHM,Cambodia,Asia,South-eastern Asia,2019-12-31 - 2020-10-19,283,1.69E-05,0,0,0,35.10574394,16718971,3645.07,0.582,1.122,0.637,0.609,0.232,0.062,4.7,4.8484,1.071426,0.587904,0.67494,0.233342,0.072838
CMR,Cameroon,Africa,Sub-Saharan Africa,2020-03-07 - 2020-10-19,21441,0.000807696,423,1.59E-05,0.019728557,57.93663636,26545864,3364.926,0.556,0.91,0.331,0.381,0.187,0.037,5.044,5.0849,0.899726,0.27019,0.439242,0.19802,0.054393
CAN,Canada,North America,Northern America,2019-12-31 - 2020-10-19,198148,0.005250044,9760,0.000258597,0.049256112,50.85453287,37742157,44017.591,0.926,1.505,1.039,0.584,0.285,0.308,7.278,7.2321,1.435392,1.022502,0.644028,0.281529,0.351702
CAF,Central African Republic,Africa,Sub-Saharan Africa,2020-03-16 - 2020-10-19,4855,0.001005225,62,1.28E-05,0.01277034,60.5467907,4829764,661.24,0.367,0,0.105,0.225,0.235,0.035,3.083,3.4759,0,0,0.292814,0.253513,0.028265
TCD,Chad,Africa,Sub-Saharan Africa,2020-03-20 - 2020-10-19,1379,8.40E-05,93,5.66E-06,0.067440174,67.66552381,16425859,1768.153,0.404,0.766,0.192,0.174,0.198,0.078,4.35,4.4227,0.739118,0.108744,0.228602,0.210805,0.085755
CHL,Chile,South America,Latin America and the Caribbean,2020-03-04 - 2020-10-19,491760,0.025724766,13635,0.000713269,0.02772694,75.26407583,19116209,22767.037,0.843,1.369,0.92,0.357,0.187,0.056,6.444,6.2285,1.323287,0.889261,0.417482,0.155579,0.062849
CHN,China,Asia,Eastern Asia,2019-12-31 - 2020-10-19,90972,6.32E-05,4739,3.29E-06,0.052092952,69.65316726,1439323774,15308.712,0.752,1.125,0.893,0.521,0.058,0.1,5.191,5.1239,1.132081,0.867249,0.601605,0.079021,0.117256
COL,Colombia,South America,Latin America and the Caribbean,2020-03-05 - 2020-10-19,959572,0.018858444,28970,0.000569347,0.030190543,79.21350877,50882884,13254.949,0.747,1.41,0.841,0.47,0.099,0.034,6.125,6.1634,1.334451,0.81002,0.52689,0.092374,0.045848
COM,Comoros,Africa,Sub-Saharan Africa,2020-05-02 - 2020-10-19,502,0.00057728,7,8.05E-06,0.013944223,0,869595,1413.89,0.503,0.757,0.505,0.142,0.275,0.078,3.973,4.2886,0.723233,0.437383,0.181028,0.258538,0.100049
CRI,Costa Rica,North America,Latin America and the Caribbean,2020-03-07 - 2020-10-19,95514,0.018749875,1183,0.000232229,0.012385619,68.88276995,5094114,15524.995,0.794,1.441,0.963,0.558,0.144,0.093,7.167,7.1214,1.374854,0.939635,0.645018,0.131266,0.096362
HRV,Croatia,Europe,Southern Europe,2019-12-31 - 2020-10-19,25580,0.006231018,363,8.84E-05,0.014190774,39.24486014,4105268,22669.797,0.831,1.266,0.914,0.296,0.119,0.022,5.432,5.5047,1.311265,0.900576,0.381457,0.113999,0.012325
CYP,Cyprus,Asia,Western Asia,2020-03-10 - 2020-10-19,2644,0.003018613,25,2.85E-05,0.009455371,64.31846154,875899,32415.132,0.869,1.223,1.042,0.406,0.19,0.041,6.046,6.159,1.149171,1.026125,0.459386,0.227932,0.051207
CZE,Czech Republic,Europe,Eastern Europe,2019-12-31 - 2020-10-19,173885,0.016237304,1422,0.000132786,0.008177819,39.09163121,10708982,32605.906,0.888,1.487,0.92,0.457,0.046,0.036,6.852,6.9109,1.405287,0.894564,0.505745,0.046326,0.049803
DNK,Denmark,Europe,Northern Europe,2019-12-31 - 2020-10-19,35392,0.006110283,680,0.000117399,0.019213382,44.95621908,5792203,46682.515,0.929,1.573,0.996,0.592,0.252,0.41,7.6,7.6456,1.503449,0.979333,0.66504,0.242793,0.49526
DOM,Dominican Republic,North America,Latin America and the Caribbean,2019-12-31 - 2020-10-19,121347,0.011186216,2199,0.000202712,0.018121585,60.25752577,10847904,14600.861,0.736,1.401,0.779,0.497,0.113,0.101,5.425,5.6892,1.328889,0.741902,0.562874,0.112197,0.115946
ECU,Ecuador,South America,Latin America and the Caribbean,2019-12-31 - 2020-10-19,153289,0.008688345,12387,0.000702089,0.080808147,57.48696552,17643060,10581.936,0.752,1.312,0.868,0.498,0.126,0.087,6.028,5.9252,1.221028,0.838838,0.555235,0.115006,0.086753
EGY,Egypt,Africa,Northern Africa,2019-12-31 - 2020-10-19,105424,0.001030191,6120,5.98E-05,0.058051298,51.52854671,102334403,10550.206,0.696,1.039,0.644,0.241,0.076,0.067,4.166,4.1514,0.98254,0.596911,0.373685,0.068801,0.095462
SLV,El Salvador,North America,Latin America and the Caribbean,2020-03-19 - 2020-10-19,31666,0.004882057,922,0.000142148,0.029116402,85.63462617,6486201,7292.458,0.674,1.242,0.789,0.43,0.093,0.074,6.253,6.3483,1.149398,0.75273,0.524044,0.118936,0.11703
EST,Estonia,Europe,Northern Europe,2019-12-31 - 2020-10-19,4078,0.003074165,68,5.13E-05,0.016674841,29.79585106,1326539,29481.252,0.871,1.528,0.874,0.495,0.103,0.161,5.893,6.0218,1.453233,0.842615,0.576665,0.125137,0.201767
ETH,Ethiopia,Africa,Sub-Saharan Africa,2020-03-13 - 2020-10-19,89137,0.00077535,1352,1.18E-05,0.015167663,76.16892019,114963583,1729.927,0.463,1.033,0.532,0.344,0.209,0.1,4.286,4.1862,1.001103,0.483846,0.412567,0.227698,0.117437
FIN,Finland,Europe,Northern Europe,2019-12-31 - 2020-10-19,13424,0.002422791,351,6.33E-05,0.026147199,35.09869718,5540718,40585.721,0.92,1.587,0.986,0.596,0.153,0.393,7.769,7.8087,1.499526,0.961271,0.662317,0.15967,0.477857
