iso_code,Country,Continent,Specific Sub-Region,Date Range,total_cases,Cases per Pop,total_deaths,Deaths per Pop,Fatality,stringency_index,population,gdp_per_capita,human_development_index,Social support_2019,Healthy life expectancy 2019,Freedom to make life choices 2019,Generosity 2019,Perceptions of corruption 2019,happiness score 2019,Happiness Score 2020,Social support_2020,Healthy life expectancy 2020,Freedom to make life choices 2020,Generosity 2020,Perceptions of corruption 2020
ISR,Israel,Asia,Western Asia,2019-12-31 - 2020-10-19,303846,0.035104218,2209,0.000255212,0.00727013,54.52248299,8655541,33132.32,0.903,1.455,1.029,0.371,0.261,0.082,7.139,7.1286,1.403257,1.008053,0.420699,0.266862,0.099898
ITA,Italy,Europe,Southern Europe,2019-12-31 - 2020-10-19,414241,0.006851281,36543,0.000604398,0.088216763,53.55266212,60461828,35220.084,0.88,1.488,1.039,0.231,0.158,0.03,6.223,6.3874,1.347296,1.022505,0.321306,0.170266,0.040146
JAM,Jamaica,North America,Latin America and the Caribbean,2020-03-12 - 2020-10-19,8274,0.002794174,171,5.77E-05,0.02066715,74.94872727,2961161,8193.571,0.732,1.478,0.831,0.49,0.107,0.028,5.89,5.8898,1.408289,0.788434,0.553125,0.116268,0.030148
JPN,Japan,Asia,Eastern Asia,2019-12-31 - 2020-10-19,93127,0.000736319,1674,1.32E-05,0.017975453,29.94535836,126476458,39002.223,0.909,1.419,1.088,0.445,0.069,0.14,5.886,5.8708,1.332339,1.072881,0.495466,0.035712,0.18144
JOR,Jordan,Asia,Western Asia,2020-03-03 - 2020-10-19,37573,0.003682494,345,3.38E-05,0.009182125,66.63039823,10203140,8337.49,0.735,1.225,0.815,0.383,0.11,0.13,4.906,4.6334,1.140119,0.777625,0.424855,0.091495,0.151879
KWT,Kuwait,Asia,Western Asia,2019-12-31 - 2020-10-19 ,116146,0.027196882,701,0.000164147,0.006035507,62.96,4270563,65530.537,0.803,1.319,0.808,0.493,0.142,0.097,6.021,6.1021,1.24478,0.776469,0.570261,0.132751,0.112815
KGZ,Kyrgyzstan,Asia,Central Asia,2020-03-19 -2020-10-19,52526,0.00805096,1111,0.000170289,0.02115143,67.13,6524191,3393.474,0.672,1.438,0.723,0.508,0.3,0.023,5.261,5.5415,1.341037,0.680646,0.614618,0.301371,0.030467
LAO,Laos,Asia,South-eastern Asia,2020-03-25 - 2020-10-19 ,23,3.16E-06,0,0,0,0,7275556,6397.36,0.601,1.03,0.551,0.547,0.266,0.164,4.796,4.8886,0.987392,0.486378,0.612027,0.272667,0.194274
LVA,Latvia,Europe,Northern Europe,2020-02-29 - 2020-10-19,3450,0.001829072,44,2.33E-05,0.012753623,30.56,1886202,25063.846,0.847,1.465,0.812,0.264,0.075,0.064,5.94,5.95,1.414399,0.777902,0.329199,0.075408,0.090392
LBN,Lebanon,Asia,Western Asia,2019-12-31 - 2020-10-19,62286,0.009125563,520,7.62E-05,0.008348586,59.26,6825442,13367.565,0.757,1.224,0.815,0.216,0.166,0.027,5.197,4.7715,1.192493,0.788671,0.185517,0.158524,0.021518
LSO,Lesotho,Africa,Sub-Saharan Africa,2020-05-15 - 2020-10-19,1833,0.000855642,42,1.96E-05,0.022913257,53.7,2142252,2851.153,0.52,1.169,0.168,0.359,0.107,0.093,3.802,3.6528,1.08894,0.100935,0.409368,0.102628,0.050484
LBR,Liberia,Africa,Sub-Saharan Africa,2020-03-17 - 2020-10-19 ,1377,0.000272259,82,1.62E-05,0.059549746,57.41,5057677,752.788,0.435,0.922,0.443,0.37,0.233,0.033,3.975,4.5579,0.920734,0.392284,0.405943,0.226968,0.05114
LBY,Libya,Africa,Northern Africa,2020-03-04 - 2020-10-19,48790,0.007100562,725,0.000105512,0.014859602,80.56,6871287,17881.509,0.706,1.303,0.673,0.416,0.133,0.152,5.525,5.4888,1.196284,0.615627,0.451354,0.142758,0.172258
LTU,Lithuania,Europe,Northern Europe,2019-12-31 - 2020-10-19,7726,0.002838051,113,4.15E-05,0.014625938,35.27083916,2722291,29524.265,0.858,1.515,0.818,0.291,0.043,0.042,6.149,6.2155,1.432866,0.795421,0.420461,0.053691,0.08135
LUX,Luxembourg,Europe,Western Europe,2020-01-01 - 2020-10-19,10646,0.017007042,133,0.000212468,0.012492955,43.52,625976,94277.965,0.904,1.479,1.012,0.526,0.194,0.316,7.09,7.2375,1.387528,0.986443,0.610137,0.195954,0.367041
MDG,Madagascar,Africa,Sub-Saharan Africa,2020-03-21 - 2020-10-19 ,16810,0.000607056,238,8.59E-06,0.014158239,69.16946602,27691019,1416.44,0.519,0.916,0.555,0.148,0.169,0.041,3.933,4.1656,0.823694,0.500617,0.192968,0.19119,0.076249
MWI,Malawi,Africa,Sub-Saharan Africa,2020-03-29 - 2020-10-19 ,5857,0.000306169,181,9.46E-06,0.030903193,59.27570707,19129955,1095.042,0.477,0.56,0.495,0.443,0.218,0.089,3.41,3.538,0.530368,0.446163,0.48739,0.213185,0.131634
MYS,Malaysia,Asia,South-eastern Asia,2019-12-31 - 2020-10-19 ,20498,0.000633319,187,5.78E-06,0.009122841,65.74,32365998,26808.164,0.802,1.171,0.828,0.508,0.26,0.024,5.339,5.3843,1.174002,0.788512,0.596942,0.274886,0.062163
MLI,Mali,Africa,Sub-Saharan Africa,2020-03-26 - 2020-10-19,3379,0.000166857,132,6.52E-06,0.039064812,53.36985434,20250834,2014.306,0.427,1.105,0.308,0.327,0.153,0.052,4.39,4.7293,0.973142,0.234982,0.377534,0.169667,0.062146
MLT,Malta,Europe,Southern Europe,2020-02-06 - 2020-10-19 ,4282,0.009697898,45,0.000101916,0.010509108,0,441539,36513.323,0.878,1.52,0.999,0.564,0.375,0.151,6.726,6.7728,1.442957,0.972042,0.633239,0.341181,0.178864
MRT,Mauritania,Africa,Sub-Saharan Africa,2020-03-15 - 2020-10-19 ,7603,0.001635173,163,3.51E-05,0.021438906,52.13024155,4649660,3597.633,0.52,1.167,0.489,0.066,0.106,0.088,4.49,4.3746,1.113324,0.425185,0.185714,0.1289,0.122258
MUS,Mauritius,Africa,Sub-Saharan Africa,2020-03-20 - 2020-10-19,407,0.000320027,10,7.86E-06,0.024570025,44.16328012,1271767,20292.745,0.79,1.402,0.798,0.498,0.215,0.06,5.888,6.1013,1.395667,0.763389,0.590838,0.186895,0.084088
MEX,Mexico,North America,Latin America and the Caribbean,2019-12-31 - 2020-10-19,851227,0.006602101,86167,0.00066831,0.101226817,53.11301184,128932753,17336.469,0.774,1.323,0.861,0.433,0.074,0.073,6.595,6.465,1.226333,0.831601,0.553893,0.083094,0.083134
MDA,Moldova,Europe,Eastern Europe,2020-03-08 - 2020-10-19,67050,0.016621372,1584,0.000392666,0.023624161,69.58386808,4033963,5189.972,0.7,1.328,0.739,0.245,0.181,0,5.529,5.6075,1.237312,0.713299,0.389571,0.174049,0.014379
MNG,Mongolia,Asia,Eastern Asia,2020-03-10 - 2020-10-19,324,9.88E-05,0,0,0,61.45917231,3278292,11840.846,0.741,1.531,0.667,0.317,0.235,0.038,5.285,5.4562,1.458931,0.615788,0.355703,0.263886,0.046533
MNE,Montenegro,Europe,Southern Europe,2020-03-18 - 2020-10-19,15615,0.024862195,236,0.000375759,0.015113673,0,628062,16409.288,0.814,1.361,0.871,0.197,0.142,0.08,5.523,5.5461,1.265658,0.839029,0.303224,0.14901,0.098435
MAR,Morocco,Africa,Northern Africa,2020-02-07 - 2020-10-19,173632,0.004704128,2928,7.93E-05,0.016863251,66.47744702,36910558,7485.013,0.667,0.782,0.782,0.418,0.036,0.076,5.208,5.0948,0.645208,0.745097,0.450054,0.040033,0.077386
MOZ,Mozambique,Africa,Sub-Saharan Africa,2020-03-23 - 2020-10-19,10866,0.000347652,75,2.40E-06,0.006902264,63.13082205,31255435,1136.103,0.437,0.986,0.39,0.494,0.197,0.138,4.466,4.6236,0.955203,0.324224,0.560775,0.220422,0.163064
MMR,Myanmar,Asia,South-eastern Asia,2020-03-17 - 2020-10-19,36025,0.000662105,880,1.62E-05,0.024427481,81.02,54409794,5591.597,0.578,1.181,0.555,0.525,0.566,0.172,4.36,4.308,1.098178,0.495443,0.597479,0.569814,0.18753
NAM,Namibia,Africa,Sub-Saharan Africa,2020-03-15 - 2020-10-19,12293,0.004838019,131,5.16E-05,0.010656471,58.25348069,2540916,9541.808,0.647,1.313,0.477,0.401,0.07,0.056,4.639,4.5711,1.245738,0.406871,0.444599,0.076454,0.05432
NPL,Nepal,Asia,Southern Asia,2019-12-31 - 2020-10-19,132246,0.004538795,739,2.54E-05,0.005588071,67.01446513,29136808,2442.804,0.574,1.226,0.677,0.439,0.285,0.089,4.913,5.1372,1.100789,0.668879,0.480608,0.300972,0.127503
